game_pk,game_date,season,home_team,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
745485,2024-06-23,2024,PIT,TB,2024-06-23 13:35:00,13.0,1,3,4,2,15,6,12,246,84.9,1,49,0.0204,0.1667,83.8,28.8,60.3,978.8,0.5,25.7,16.0,242.6,SW,16.57,22.29,8.85
745396,2024-06-23,2024,SD,MIL,2024-06-23 13:10:00,13.0,2,6,8,0,16,1,22,276,81.7,5,58,0.0862,0.0,76.3,24.6,59.0,1011.6,0.0,14.2,8.8,236.7,SW,7.8,3.27,11.39
745165,2024-06-23,2024,STL,SF,2024-06-23 13:15:00,13.0,5,3,8,1,20,5,13,245,80.5,3,43,0.0698,0.0769,89.4,31.9,40.3,994.1,0.0,17.1,10.6,324.7,NW,-2.88,-8.48,3.07
745000,2024-06-23,2024,TEX,KC,2024-06-23 13:35:00,13.0,4,0,4,1,9,3,12,227,84.1,2,53,0.0377,0.0833,94.9,35.0,40.0,993.3,0.0,6.0,3.7,193.0,S,3.5,4.97,1.61
747021,2024-06-24,2024,BAL,CLE,2024-06-24 18:35:00,18.0,2,3,5,1,25,4,13,299,81.4,3,42,0.0714,0.0769,81.6,27.5,30.7,1008.2,0.0,11.6,7.2,320.9,NW,-5.51,-8.65,-1.7
746941,2024-06-24,2024,BOS,TOR,2024-06-24 19:10:00,19.0,7,6,13,3,14,3,21,266,86.1,5,54,0.0926,0.1429,69.8,21.0,69.7,1000.9,0.0,16.5,10.2,311.0,NW,1.16,-4.53,6.71
746696,2024-06-24,2024,CIN,PIT,2024-06-24 19:10:00,19.0,11,5,16,2,16,6,22,323,82.5,3,57,0.0526,0.0909,78.2,25.7,49.7,995.6,0.0,7.9,4.9,294.7,NW,7.86,7.29,7.49
746780,2024-06-24,2024,CWS,LAD,2024-06-24 19:10:00,19.0,0,3,3,0,18,5,14,288,79.5,1,49,0.0204,0.0,80.8,27.1,58.0,990.3,0.0,17.7,11.0,183.0,S,-5.89,0.16,-11.23
746458,2024-06-24,2024,DET,PHI,2024-06-24 18:40:00,18.0,1,8,9,2,25,3,22,333,80.8,3,50,0.06,0.0909,77.8,25.5,48.3,991.4,0.0,8.4,5.2,188.3,S,-7.18,-5.28,-8.22
746298,2024-06-24,2024,KC,MIA,2024-06-24 19:10:00,19.0,4,1,5,3,20,7,10,256,81.9,3,41,0.0732,0.3,88.3,31.3,43.7,978.4,0.0,16.1,10.0,190.7,S,13.27,15.57,9.37
746218,2024-06-24,2024,LAA,ATH,2024-06-24 18:38:00,18.0,5,1,6,2,15,7,15,278,84.0,2,47,0.0426,0.1333,71.7,22.1,55.3,1006.1,0.0,9.9,6.1,193.7,S,8.43,9.68,6.17
745974,2024-06-24,2024,MIL,TEX,2024-06-24 19:10:00,19.0,6,3,9,2,17,12,15,349,82.8,2,47,0.0426,0.1333,70.8,21.5,63.7,987.7,0.0,17.3,10.8,159.0,S,-15.83,-12.46,-17.29
745397,2024-06-24,2024,SD,WSH,2024-06-24 18:40:00,18.0,7,6,13,1,17,4,19,324,80.4,0,60,0.0,0.0526,69.6,20.9,68.3,1011.9,0.0,7.8,4.9,249.0,W,2.8,0.13,5.14
745323,2024-06-24,2024,SF,CHC,2024-06-24 18:45:00,18.0,5,4,9,2,22,11,19,326,83.1,4,49,0.0816,0.1053,54.9,12.7,83.7,1010.7,0.0,18.0,11.2,249.7,W,16.91,18.03,13.75
745160,2024-06-24,2024,STL,ATL,2024-06-24 18:45:00,18.0,4,3,7,1,19,4,17,264,82.7,1,46,0.0217,0.0588,85.9,29.9,54.7,994.0,0.0,17.4,10.8,132.1,SE,-0.88,5.11,-6.77
745078,2024-06-24,2024,TB,SEA,2024-06-24 18:50:00,18.0,4,3,7,2,25,9,14,320,81.2,5,40,0.125,0.1429,81.9,27.7,76.7,1011.5,2.1,10.3,6.4,182.4,S,7.61,9.54,4.76
747188,2024-06-25,2024,AZ,MIN,2024-06-25 18:40:00,18.0,5,4,9,3,9,3,14,229,84.5,3,56,0.0536,0.2143,100.6,38.1,28.7,969.4,0.0,11.2,7.0,319.3,NW,-8.5,-10.48,-5.49
747022,2024-06-25,2024,BAL,CLE,2024-06-25 18:35:00,18.0,8,10,18,5,12,6,30,287,83.8,8,67,0.1194,0.1667,85.7,29.8,36.7,1009.0,0.0,13.0,8.1,179.3,S,11.95,12.98,9.48
746943,2024-06-25,2024,BOS,TOR,2024-06-25 19:10:00,19.0,4,9,13,3,20,7,16,305,82.7,5,51,0.098,0.1875,74.4,23.6,58.7,1007.8,0.0,10.1,6.3,231.4,SW,10.04,9.05,9.81
746697,2024-06-25,2024,CIN,PIT,2024-06-25 19:10:00,19.0,5,9,14,2,19,7,19,319,83.3,3,55,0.0545,0.1053,77.4,25.2,75.7,992.7,0.0,10.3,6.4,253.1,W,7.94,9.69,5.23
746775,2024-06-25,2024,CWS,LAD,2024-06-25 19:10:00,19.0,3,4,7,3,11,9,15,307,83.1,3,57,0.0526,0.2,78.0,25.5,83.7,986.8,0.8,17.1,10.6,250.7,W,12.77,15.91,8.09
746454,2024-06-25,2024,DET,PHI,2024-06-25 18:40:00,18.0,4,1,5,1,13,2,12,238,83.5,2,50,0.04,0.0833,79.0,26.1,71.0,984.6,0.0,21.2,13.2,229.7,SW,-6.49,0.8,-13.0
746372,2024-06-25,2024,HOU,COL,2024-06-25 19:10:00,19.0,5,2,7,1,15,6,15,275,81.8,3,50,0.06,0.0667,84.1,29.0,76.7,1009.6,0.0,14.2,8.8,167.0,S,13.97,12.33,13.93
746293,2024-06-25,2024,KC,MIA,2024-06-25 19:10:00,19.0,1,2,3,0,19,5,11,246,80.8,3,45,0.0667,0.0,77.5,25.3,91.0,979.2,7.9,9.4,5.9,108.2,E,-4.26,-1.12,-6.88
746213,2024-06-25,2024,LAA,ATH,2024-06-25 18:38:00,18.0,7,5,12,3,12,10,18,295,82.8,4,55,0.0727,0.1667,70.3,21.3,60.7,1007.9,0.0,13.4,8.3,216.0,SW,13.27,13.19,11.75
745973,2024-06-25,2024,MIL,TEX,2024-06-25 19:10:00,19.0,3,1,4,1,12,5,13,267,82.3,1,51,0.0196,0.0769,80.3,26.8,70.7,985.7,0.0,11.1,6.9,278.7,W,8.92,10.62,6.13
745806,2024-06-25,2024,NYM,NYY,2024-06-25 19:10:00,19.0,9,7,16,6,15,11,19,314,85.5,11,54,0.2037,0.3158,75.7,24.3,55.0,1009.9,0.0,18.7,11.6,198.0,S,18.64,18.02,17.02
745399,2024-06-25,2024,SD,WSH,2024-06-25 18:40:00,18.0,9,7,16,3,5,5,18,276,84.0,1,64,0.0156,0.1667,68.2,20.1,78.0,1013.4,0.0,9.8,6.1,245.0,SW,4.13,0.85,6.91
745322,2024-06-25,2024,SF,CHC,2024-06-25 18:45:00,18.0,5,1,6,0,16,6,12,278,79.6,2,44,0.0455,0.0,55.8,13.2,83.0,1012.3,0.0,22.2,13.8,237.0,SW,18.65,21.66,13.38
745076,2024-06-25,2024,TB,SEA,2024-06-25 18:50:00,18.0,11,3,14,5,19,7,17,311,81.6,5,48,0.1042,0.2941,84.9,29.4,69.7,1012.5,0.3,7.3,4.6,272.2,W,4.99,2.85,6.52
747184,2024-06-26,2024,AZ,MIN,2024-06-26 18:40:00,18.0,3,8,11,1,18,5,18,282,85.1,8,52,0.1538,0.0556,105.6,40.9,20.3,967.8,0.0,13.8,8.6,258.1,W,2.85,-1.95,7.31
747019,2024-06-26,2024,BAL,CLE,2024-06-26 18:35:00,18.0,4,2,6,5,11,3,14,268,81.6,4,51,0.0784,0.3571,84.5,29.2,56.0,1003.5,0.3,12.5,7.8,203.2,SW,12.5,11.69,11.8
746942,2024-06-26,2024,BOS,TOR,2024-06-26 19:10:00,19.0,1,4,5,2,24,5,10,279,79.1,3,41,0.0732,0.2,75.4,24.1,79.3,1004.0,1.0,12.2,7.6,215.7,SW,12.07,12.02,10.67
746695,2024-06-26,2024,CIN,PIT,2024-06-26 13:10:00,13.0,1,6,7,2,17,3,14,258,82.4,4,49,0.0816,0.1429,77.3,25.2,70.0,991.3,2.5,16.0,9.9,244.6,SW,10.74,14.15,6.03
746777,2024-06-26,2024,CWS,LAD,2024-06-26 19:10:00,19.0,0,4,4,1,19,3,10,254,81.9,1,44,0.0227,0.1,71.0,21.7,76.7,990.5,0.0,17.1,10.6,34.5,NE,-3.56,-9.05,2.37
746456,2024-06-26,2024,DET,PHI,2024-06-26 13:10:00,13.0,2,6,8,2,17,6,16,292,84.1,3,49,0.0612,0.125,74.1,23.4,82.3,985.4,3.7,5.5,3.4,259.7,W,1.17,2.95,-0.75
746374,2024-06-26,2024,HOU,COL,2024-06-26 13:10:00,13.0,7,1,8,0,19,2,14,269,80.2,1,47,0.0213,0.0,90.9,32.7,59.0,1008.8,0.0,9.1,5.6,195.0,S,7.19,4.87,8.65
746291,2024-06-26,2024,KC,MIA,2024-06-26 13:10:00,13.0,5,1,6,0,14,2,15,269,82.2,3,51,0.0588,0.0,86.2,30.1,49.0,981.8,0.0,17.1,10.6,20.3,N,-15.57,-17.08,-12.18
746212,2024-06-26,2024,LAA,ATH,2024-06-26 13:07:00,13.0,5,2,7,0,18,8,14,286,80.1,2,44,0.0455,0.0,81.2,27.3,37.7,1007.2,0.0,15.7,9.7,215.7,SW,15.46,15.4,13.66
745975,2024-06-26,2024,MIL,TEX,2024-06-26 13:10:00,13.0,6,5,11,4,19,7,21,302,84.2,3,59,0.0508,0.1905,83.1,28.4,32.7,986.5,0.0,16.2,10.1,338.7,N,14.87,11.74,16.2
745808,2024-06-26,2024,NYM,NYY,2024-06-26 19:10:00,19.0,12,2,14,4,11,14,18,334,84.7,5,55,0.0909,0.2222,78.2,25.7,70.3,1004.9,0.0,13.5,8.4,279.0,W,3.14,-1.54,7.44
745400,2024-06-26,2024,SD,WSH,2024-06-26 13:10:00,13.0,8,5,13,2,15,7,14,276,83.1,3,48,0.0625,0.1429,73.0,22.8,63.3,1012.9,0.0,17.9,11.1,244.3,SW,7.74,1.76,12.78
745325,2024-06-26,2024,SF,CHC,2024-06-26 18:45:00,18.0,4,3,7,4,19,6,15,283,87.9,5,43,0.1163,0.2667,57.7,14.3,76.3,1013.6,0.0,25.1,15.6,245.0,SW,22.72,24.97,17.73
745157,2024-06-26,2024,STL,ATL,2024-06-25 18:45:00,18.0,2,6,8,1,14,13,13,335,79.7,3,52,0.0577,0.0769,81.3,27.4,73.0,993.3,5.1,15.7,9.8,175.1,S,10.12,13.61,5.4
745158,2024-06-26,2024,STL,ATL,2024-06-26 18:15:00,18.0,4,1,5,0,17,3,14,275,81.4,1,47,0.0213,0.0,78.1,25.6,76.0,993.7,0.0,7.0,4.3,5.3,N,-5.36,-6.56,-3.51
